"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"    1P/Halley",17.93,0.9679,162.19,59.10,112.24,0.575,35.28,75.9,57852,0,8518,,,,11.0,14.9x8.2,0.04,,,,,,,
"    2P/Encke",2.22,0.8477,11.41,334.19,187.13,0.338,4.10,3.31,2546,1,640,,,,4.8,,0.046,11.083,,,,,,
"    3D/Biela",3.535,0.7513,13.22,250.67,221.66,0.879,6.19,6.65,,,26,,,,,,,,,,,,,
"    4P/Faye",3.798,0.5845,8.16,194.79,206.00,1.578,6.02,7.4,3593,0,3565,,,,3.54,,,,,,,,,
"    5D/Brorsen",3.101,0.8098,29.38,102.97,14.95,0.590,5.61,5.46,,,127,,,,,,,,,,,,,
"    6P/d'Arrest",3.497,0.6127,19.51,138.94,178.11,1.355,5.64,6.54,2913,1,1093,,,,3.2,,,,,,,,,
"    7P/Pons-Winnecke",3.419,0.6376,22.33,93.42,172.51,1.239,5.60,6.32,38229,0,1686,,,,5.2,,,,,,,,,
"    8P/Tuttle",5.7,0.8198,54.98,270.34,207.51,1.027,10.37,13.6,20161,0,1768,,,,4.5,,,,,,,,,
"    9P/Tempel 1",3.146,0.5097,10.47,68.75,179.20,1.543,4.75,5.58,6267,0,3283,,,,6.0,7.6x4.9,0.05,40.7,,,,,,
"   10P/Tempel 2",3.065,0.5365,12.03,117.80,195.53,1.420,4.71,5.37,8335,0,4621,,,,10.6,,0.022,8.93,,,,,,
"   11P/Tempel-Swift-LINEAR",3.289,0.5774,14.44,238.99,167.77,1.390,5.19,5.96,7002,0,1182,,,,,,,,,,,,,
"   12P/Pons-Brooks",17.18,0.9546,74.19,255.86,198.99,0.781,33.59,71.2,26285,0,8059,,,,,,,,,,,,,
"   13P/Olbers",16.68,0.9297,44.62,85.86,64.53,1.173,32.19,68.1,50377,0,2478,,,,,,,,,,,,,
"   14P/Wolf",4.25,0.3566,27.94,202.12,159.25,2.734,5.77,8.76,12084,0,395,,,,4.66,,,9.02,,,,,,
"   15P/Finlay",3.49,0.7202,6.80,13.75,347.63,0.977,6.00,6.52,5058,0,1655,,,,,,,,,,,,,
"   16P/Brooks 2",3.375,0.5690,4.31,159.34,220.17,1.455,5.29,6.2,2826,1,256,,,,,,,,,,,,,
"   17P/Holmes",3.626,0.4302,19.07,326.77,24.74,2.066,5.19,6.91,4401,0,2211,,,,3.42,,,,,,,,,
"   18D/Perrine-Mrkos",3.56,0.6426,17.76,240.88,166.05,1.272,5.85,6.72,2584,1,16,,,,,,,,,,,,,
"   19P/Borrelly",3.607,0.6379,29.32,74.30,351.86,1.306,5.91,6.85,3565,0,2452,,,,4.8,,0.022,,,,,,,
"   20D/Westphal",15.64,0.9198,40.89,348.01,57.08,1.254,30.03,61.9,22321,0,201,,,,,,,,,,,,,
"   21P/Giacobini-Zinner",3.5,0.7105,32.00,195.40,172.81,1.013,5.99,6.55,4922,0,1993,,,,2.0,,,,,,,,,
"   22P/Kopff",3.444,0.5486,4.74,120.84,162.91,1.555,5.33,6.39,4727,0,2690,,,,3.0,,0.05,,,,,,,
"   23P/Brorsen-Metcalf",17.07,0.9720,19.33,311.59,129.61,0.479,33.66,70.5,51904,0,223,,,,,,,,,,,,,
"   24P/Schaumasse",4.053,0.7088,11.57,78.85,58.07,1.180,6.93,8.16,9228,0,1626,,,,2.6,,,,,,,,,
"   25D/Neujmin 2",3.089,0.5668,10.64,328.72,193.70,1.338,4.84,5.43,3994,1,55,,,,,,,,,,,,,
"   26P/Grigg-Skjellerup",3.024,0.6397,22.46,211.63,1.90,1.090,4.96,5.26,6137,0,511,,,,2.6,,,,,,,,,
"   27P/Crommelin",9.093,0.9193,29.22,250.96,195.96,0.734,17.45,27.4,20203,0,455,,,,,,,,,,,,,
"   28P/Neujmin 1",6.982,0.7736,14.31,346.34,347.47,1.581,12.38,18.4,40390,0,1208,,,,21.4,,0.025,,,,,,,
"   29P/Schwassmann-Wachmann 1",6.046,0.0448,9.36,312.39,50.66,5.775,6.32,14.9,5832,0,739,,,,60.4,,0.033,,,,,,,
"   30P/Reinmuth 1",3.771,0.5023,8.13,119.72,13.25,1.877,5.66,7.32,5792,0,2543,,,,7.8,,,,,,,,,
"   31P/Schwassmann-Wachmann 2",4.243,0.1930,4.55,114.19,17.93,3.424,5.06,8.74,9095,0,1028,,,,6.2,,,,,,,,,
"   32P/Comas Sola",4.499,0.5567,9.94,57.67,53.30,1.994,7.00,9.54,4271,0,2867,,,,8.4,,,,,,,,,
"   33P/Daniel",4.024,0.4632,22.39,66.49,19.06,2.160,5.89,8.07,8897,0,773,,,,2.6,,,,,,,,,
"   34D/Gale",4.944,0.7607,11.73,67.92,209.16,1.183,8.70,11,,,47,,,,,,,,,,,,,
"   35P/Herschel-Rigollet",28.84,0.9740,64.21,355.98,29.30,0.748,56.94,155,,,75,,,,,,,,,,,,,
"   36P/Whipple",4.165,0.2582,9.94,182.39,201.96,3.089,5.24,8.5,26894,0,943,,,,4.56,,,,,,,,,
"   37P/Forbes",3.458,0.5342,8.96,314.58,330.02,1.611,5.30,6.43,5080,0,1737,,,,1.92,,,,,,,,,
"   38P/Stephan-Oterma",11.29,0.8593,18.35,78.00,359.59,1.589,20.99,37.9,28321,0,3293,,,,,,,,,,,,,
"   39P/Oterma",7.403,0.2284,1.48,303.64,89.70,5.712,9.09,20.1,29851,0,287,,,,,,,,,,,,,
"   40P/Vaisala 1",4.897,0.6324,11.53,134.73,47.29,1.800,7.99,10.8,8135,0,921,,,,4.2,,,,,,,,,
"   41P/Tuttle-Giacobini-Kresak",3.085,0.6613,9.23,141.06,62.17,1.045,5.13,5.42,2498,3,4300,,,,1.4,,,,,,,,,
"   42P/Neujmin 3",4.858,0.5856,3.99,150.35,147.18,2.013,7.70,10.7,8087,0,262,,,,2.2,,,,,,,,,
"   43P/Wolf-Harrington",4.252,0.4692,10.38,246.04,222.17,2.257,6.25,8.77,6077,0,2987,,,,3.6,,,,,,,,,
"   44P/Reinmuth 2",3.689,0.4270,5.90,286.48,58.12,2.114,5.26,7.09,3605,0,1496,,,,3.22,,,,,,,,,
"   45P/Honda-Mrkos-Pajdusakova",3.026,0.8240,4.25,88.93,326.34,0.533,5.52,5.26,2067,1,1823,8,4,,1.6,,,,,,,,,
"   46P/Wirtanen",3.093,0.6588,11.75,82.16,356.34,1.055,5.13,5.44,3693,2,4224,0,1,,1.2,,,,,,,,,
"   47P/Ashbrook-Jackson",4.124,0.3185,13.04,356.92,357.65,2.810,5.44,8.37,4296,0,2362,,,,5.6,,,15.6,,,,,,
"   48P/Johnson",3.499,0.4271,12.21,110.13,216.57,2.005,4.99,6.54,5664,0,2187,,,,5.74,,,,,,,,,
